iter	RMSE
0	0.2857490111
1	0.2829708537
2	0.2803401971
3	0.2777847035
4	0.2753897392
5	0.2730712237
6	0.2708540359
7	0.2687434934
8	0.2667485574
9	0.2648421098
10	0.2630285568
11	0.2612710539
12	0.259603755
13	0.258022695
14	0.2565172085
15	0.2550769723
16	0.2537024842
17	0.2523888725
18	0.2510962964
19	0.2498979704
20	0.2487669612
21	0.2476703652
22	0.2466332171
23	0.2456202662
24	0.2446366398
25	0.2437401633
26	0.2428731664
27	0.2420292828
28	0.2412188328
29	0.240471462
30	0.2397454546
31	0.2390444529
32	0.2384016178
33	0.2377711571
34	0.2371603689
35	0.2365753202
36	0.2360268452
37	0.2354907869
38	0.2349754285
39	0.2344910071
40	0.2340206514
41	0.2335753833
42	0.2331264968
43	0.2327090613
44	0.232316306
45	0.2319294554
46	0.2315645935
47	0.2312219035
48	0.230897176
49	0.2305832593
50	0.2302734246
51	0.229980702
52	0.2297074761
53	0.2294336805
54	0.2291645422
55	0.2289082694
56	0.2286606831
57	0.2284322685
58	0.2281985372
59	0.2279970001
60	0.2277653868
61	0.2275634746
62	0.227368533
63	0.2271797421
64	0.2270038803
65	0.2268245779
66	0.2266579125
67	0.2264941763
68	0.2263266662
69	0.2261568636
70	0.2260077464
71	0.2258434053
72	0.2256978938
73	0.2255414137
74	0.2254072231
75	0.2252737781
76	0.2251561322
77	0.2250378671
78	0.224924354
79	0.224795917
80	0.2246937463
81	0.2245834165
82	0.2244789672
83	0.2243731857
84	0.2242681305
85	0.2241768321
86	0.2240868308
87	0.2240027839
88	0.2239166504
89	0.2238288713
90	0.2237457451
91	0.2236648922
92	0.2235684714
93	0.2234844734
94	0.2234066214
95	0.2233240865
96	0.2232316441
97	0.223163761
98	0.2230958132
99	0.2230196937
100	0.2229401467
101	0.2228865432
102	0.2228180985
103	0.2227585281
104	0.2226933893
105	0.2226420703
106	0.2225540486
107	0.2224968689
108	0.2224459428
109	0.22238873
110	0.2222905198
111	0.2222424239
112	0.2221897458
113	0.2221232685
114	0.2220654864
115	0.2220140605
116	0.2219560055
117	0.2218799032
118	0.2218315604
119	0.2217814584
120	0.2217361528
121	0.2216928519
122	0.2216338007
123	0.22158004
124	0.2215390117
125	0.2214987266
126	0.2214573179
127	0.2214137468
128	0.2213714998
129	0.2213347498
130	0.2212879715
131	0.2212460485
132	0.221204287
133	0.2211587263
134	0.2211213274
135	0.2210810119
136	0.2210285034
137	0.22099356
138	0.2209509117
139	0.2209193315
140	0.220886081
141	0.220825619
142	0.2207778306
143	0.2207373145
144	0.2207081207
145	0.2206803384
146	0.2206495297
147	0.2206094767
148	0.2205816372
149	0.2205549619
150	0.2205207732
151	0.220488724
152	0.220457014
153	0.2204235033
154	0.2203835459
155	0.2203130409
156	0.2202844611
157	0.2202566736
158	0.2202017804
159	0.2201502325
160	0.2201068765
161	0.2200753978
162	0.2200431639
163	0.2200221259
164	0.2199972467
165	0.2199683799
166	0.2199432249
167	0.2199128792
168	0.2198851388
169	0.2198592429
170	0.2198372281
171	0.2198059106
172	0.2197793626
173	0.2197482286
174	0.2197047434
175	0.2196289133
176	0.2195973282
177	0.2195780225
178	0.2195475733
179	0.2195194062
180	0.219496674
181	0.2194728666
182	0.2194487043
183	0.2193759082
184	0.2193480326
185	0.2192994607
186	0.2192771605
187	0.2192468461
188	0.2192131976
189	0.2191865238
190	0.2191472388
191	0.2191217861
192	0.2190900702
193	0.2190507431
194	0.2190321759
195	0.2190012076
196	0.2189671346
197	0.2189407781
198	0.2188908106
199	0.2188661076
200	0.2188488421
201	0.2187983644
202	0.2187743565
203	0.2187411412
204	0.2187182109
205	0.2186641556
206	0.2186384793
207	0.2186052976
208	0.2185855125
209	0.2185601484
210	0.2185178098
211	0.2184943367
212	0.2184531143
213	0.2184299105
