iter	Passed	Remaining
0	48	29116
1	91	27280
2	136	27214
3	186	27792
4	239	28476
5	301	29892
6	355	30143
7	413	30588
8	477	31363
9	531	31373
10	587	31452
11	653	32012
12	710	32086
13	770	32253
14	837	32654
15	898	32793
16	951	32629
17	1001	32367
18	1048	32072
19	1097	31817
20	1144	31559
21	1196	31423
22	1326	33265
23	1384	33229
24	1439	33100
25	1492	32941
26	1543	32747
27	1592	32523
28	1641	32316
29	1688	32072
30	1739	31934
31	1788	31751
32	1827	31396
33	1873	31186
34	1936	31257
35	1990	31184
36	2035	30976
37	2087	30867
38	2135	30721
39	2184	30586
40	2230	30413
41	2276	30250
42	2340	30312
43	2385	30140
44	2432	30000
45	2486	29946
46	2529	29756
47	2573	29596
48	2625	29523
49	2678	29466
50	2731	29401
51	2775	29254
52	2829	29204
53	2874	29061
54	2919	28932
55	2986	29008
56	3144	29954
57	3235	30234
58	3287	30143
59	3336	30032
60	3385	29915
61	3454	29974
62	3503	29862
63	3559	29813
64	3614	29746
65	3668	29681
66	3732	29690
67	3796	29704
68	3849	29625
69	3904	29558
70	4050	30180
71	4129	30284
72	4180	30179
73	4231	30076
74	4278	29950
75	4327	29834
76	4371	29689
77	4422	29595
78	4467	29459
79	4512	29333
80	4569	29280
81	4618	29174
82	4670	29092
83	4723	29017
84	4784	28989
85	4834	28893
86	4892	28851
87	4934	28710
88	4985	28622
89	5036	28540
90	5082	28431
91	5124	28295
92	5178	28229
93	5235	28180
94	5310	28230
95	5374	28218
96	5452	28274
97	5624	28813
98	5677	28732
99	5735	28675
100	5794	28629
101	5844	28535
102	5921	28575
103	6013	28681
104	6061	28574
105	6104	28448
106	6165	28407
107	6221	28344
108	6278	28282
109	6371	28380
110	6448	28406
111	6507	28352
112	6570	28317
113	6633	28278
114	6680	28173
115	6725	28061
116	6775	27968
117	6826	27885
118	6869	27766
119	6914	27658
120	6965	27574
121	7006	27452
122	7053	27354
123	7100	27257
124	7145	27151
125	7189	27045
126	7236	26951
127	7279	26843
128	7330	26764
129	7381	26687
130	7434	26615
131	7480	26523
132	7529	26437
133	7570	26327
134	7625	26266
135	7691	26242
136	7745	26177
137	7808	26142
138	7856	26057
139	7902	25964
140	7942	25853
141	7987	25763
142	8050	25728
143	8105	25668
144	8146	25562
145	8213	25540
146	8251	25429
147	8294	25331
148	8345	25260
149	8401	25203
150	8479	25213
151	8520	25113
152	8565	25023
153	8606	24926
154	8686	24938
155	8748	24899
156	8806	24849
157	8862	24792
158	8906	24702
159	8956	24630
160	9001	24545
161	9057	24488
162	9102	24404
163	9155	24340
164	9206	24270
165	9253	24192
166	9302	24119
167	9348	24039
168	9394	23959
169	9441	23880
170	9482	23788
171	9527	23708
172	9568	23618
173	9613	23537
174	9661	23462
175	9711	23395
176	9762	23330
177	9805	23246
178	9853	23176
179	9903	23109
180	9949	23033
181	9990	22944
182	10045	22891
183	10092	22817
184	10139	22744
185	10184	22668
186	10235	22605
187	10287	22545
188	10342	22490
189	10392	22426
190	10493	22470
191	10560	22441
192	10618	22392
193	10668	22326
194	10730	22285
195	10784	22229
196	10838	22172
197	10882	22095
198	10927	22019
199	10963	21927
200	11000	21836
201	11039	21750
202	11083	21676
203	11120	21587
204	11162	21508
205	11197	21416
206	11234	21328
207	11270	21240
208	11305	21150
209	11342	21065
210	11379	20979
211	11420	20901
212	11458	20818
213	11492	20729
