# Static SP500 sector map snapshot. Not true historical point-in-time sector membership.
# source=https://en.wikipedia.org/wiki/List_of_S%26P_500_companies
# snapshot_date=2026-05-20
ticker,sector,source
MMM,Industrials,wikipedia_sp500_snapshot_2026-05-20
AOS,Industrials,wikipedia_sp500_snapshot_2026-05-20
ABT,Health Care,wikipedia_sp500_snapshot_2026-05-20
ABBV,Health Care,wikipedia_sp500_snapshot_2026-05-20
ACN,Information Technology,wikipedia_sp500_snapshot_2026-05-20
ADBE,Information Technology,wikipedia_sp500_snapshot_2026-05-20
AMD,Information Technology,wikipedia_sp500_snapshot_2026-05-20
AES,Utilities,wikipedia_sp500_snapshot_2026-05-20
AFL,Financials,wikipedia_sp500_snapshot_2026-05-20
A,Health Care,wikipedia_sp500_snapshot_2026-05-20
APD,Materials,wikipedia_sp500_snapshot_2026-05-20
ABNB,Consumer Discretionary,wikipedia_sp500_snapshot_2026-05-20
AKAM,Information Technology,wikipedia_sp500_snapshot_2026-05-20
ALB,Materials,wikipedia_sp500_snapshot_2026-05-20
ARE,Real Estate,wikipedia_sp500_snapshot_2026-05-20
ALGN,Health Care,wikipedia_sp500_snapshot_2026-05-20
ALLE,Industrials,wikipedia_sp500_snapshot_2026-05-20
LNT,Utilities,wikipedia_sp500_snapshot_2026-05-20
ALL,Financials,wikipedia_sp500_snapshot_2026-05-20
GOOGL,Communication Services,wikipedia_sp500_snapshot_2026-05-20
GOOG,Communication Services,wikipedia_sp500_snapshot_2026-05-20
MO,Consumer Staples,wikipedia_sp500_snapshot_2026-05-20
AMZN,Consumer Discretionary,wikipedia_sp500_snapshot_2026-05-20
AMCR,Materials,wikipedia_sp500_snapshot_2026-05-20
AEE,Utilities,wikipedia_sp500_snapshot_2026-05-20
AEP,Utilities,wikipedia_sp500_snapshot_2026-05-20
AXP,Financials,wikipedia_sp500_snapshot_2026-05-20
AIG,Financials,wikipedia_sp500_snapshot_2026-05-20
AMT,Real Estate,wikipedia_sp500_snapshot_2026-05-20
AWK,Utilities,wikipedia_sp500_snapshot_2026-05-20
AMP,Financials,wikipedia_sp500_snapshot_2026-05-20
AME,Industrials,wikipedia_sp500_snapshot_2026-05-20
AMGN,Health Care,wikipedia_sp500_snapshot_2026-05-20
APH,Information Technology,wikipedia_sp500_snapshot_2026-05-20
ADI,Information Technology,wikipedia_sp500_snapshot_2026-05-20
AON,Financials,wikipedia_sp500_snapshot_2026-05-20
APA,Energy,wikipedia_sp500_snapshot_2026-05-20
APO,Financials,wikipedia_sp500_snapshot_2026-05-20
AAPL,Information Technology,wikipedia_sp500_snapshot_2026-05-20
AMAT,Information Technology,wikipedia_sp500_snapshot_2026-05-20
APP,Information Technology,wikipedia_sp500_snapshot_2026-05-20
APTV,Consumer Discretionary,wikipedia_sp500_snapshot_2026-05-20
ACGL,Financials,wikipedia_sp500_snapshot_2026-05-20
ADM,Consumer Staples,wikipedia_sp500_snapshot_2026-05-20
ARES,Financials,wikipedia_sp500_snapshot_2026-05-20
ANET,Information Technology,wikipedia_sp500_snapshot_2026-05-20
AJG,Financials,wikipedia_sp500_snapshot_2026-05-20
AIZ,Financials,wikipedia_sp500_snapshot_2026-05-20
T,Communication Services,wikipedia_sp500_snapshot_2026-05-20
ATO,Utilities,wikipedia_sp500_snapshot_2026-05-20
ADSK,Information Technology,wikipedia_sp500_snapshot_2026-05-20
ADP,Industrials,wikipedia_sp500_snapshot_2026-05-20
AZO,Consumer Discretionary,wikipedia_sp500_snapshot_2026-05-20
AVB,Real Estate,wikipedia_sp500_snapshot_2026-05-20
AVY,Materials,wikipedia_sp500_snapshot_2026-05-20
AXON,Industrials,wikipedia_sp500_snapshot_2026-05-20
BKR,Energy,wikipedia_sp500_snapshot_2026-05-20
BALL,Materials,wikipedia_sp500_snapshot_2026-05-20
BAC,Financials,wikipedia_sp500_snapshot_2026-05-20
BAX,Health Care,wikipedia_sp500_snapshot_2026-05-20
BDX,Health Care,wikipedia_sp500_snapshot_2026-05-20
BRK-B,Financials,wikipedia_sp500_snapshot_2026-05-20
BBY,Consumer Discretionary,wikipedia_sp500_snapshot_2026-05-20
TECH,Health Care,wikipedia_sp500_snapshot_2026-05-20
BIIB,Health Care,wikipedia_sp500_snapshot_2026-05-20
BLK,Financials,wikipedia_sp500_snapshot_2026-05-20
BX,Financials,wikipedia_sp500_snapshot_2026-05-20
XYZ,Financials,wikipedia_sp500_snapshot_2026-05-20
BK,Financials,wikipedia_sp500_snapshot_2026-05-20
BA,Industrials,wikipedia_sp500_snapshot_2026-05-20
BKNG,Consumer Discretionary,wikipedia_sp500_snapshot_2026-05-20
BSX,Health Care,wikipedia_sp500_snapshot_2026-05-20
BMY,Health Care,wikipedia_sp500_snapshot_2026-05-20
AVGO,Information Technology,wikipedia_sp500_snapshot_2026-05-20
BR,Industrials,wikipedia_sp500_snapshot_2026-05-20
BRO,Financials,wikipedia_sp500_snapshot_2026-05-20
BF-B,Consumer Staples,wikipedia_sp500_snapshot_2026-05-20
BLDR,Industrials,wikipedia_sp500_snapshot_2026-05-20
BG,Consumer Staples,wikipedia_sp500_snapshot_2026-05-20
BXP,Real Estate,wikipedia_sp500_snapshot_2026-05-20
CHRW,Industrials,wikipedia_sp500_snapshot_2026-05-20
CDNS,Information Technology,wikipedia_sp500_snapshot_2026-05-20
CPT,Real Estate,wikipedia_sp500_snapshot_2026-05-20
CPB,Consumer Staples,wikipedia_sp500_snapshot_2026-05-20
COF,Financials,wikipedia_sp500_snapshot_2026-05-20
CAH,Health Care,wikipedia_sp500_snapshot_2026-05-20
CCL,Consumer Discretionary,wikipedia_sp500_snapshot_2026-05-20
CARR,Industrials,wikipedia_sp500_snapshot_2026-05-20
CVNA,Consumer Discretionary,wikipedia_sp500_snapshot_2026-05-20
CASY,Consumer Staples,wikipedia_sp500_snapshot_2026-05-20
CAT,Industrials,wikipedia_sp500_snapshot_2026-05-20
CBOE,Financials,wikipedia_sp500_snapshot_2026-05-20
CBRE,Real Estate,wikipedia_sp500_snapshot_2026-05-20
CDW,Information Technology,wikipedia_sp500_snapshot_2026-05-20
COR,Health Care,wikipedia_sp500_snapshot_2026-05-20
CNC,Health Care,wikipedia_sp500_snapshot_2026-05-20
CNP,Utilities,wikipedia_sp500_snapshot_2026-05-20
CF,Materials,wikipedia_sp500_snapshot_2026-05-20
CRL,Health Care,wikipedia_sp500_snapshot_2026-05-20
SCHW,Financials,wikipedia_sp500_snapshot_2026-05-20
CHTR,Communication Services,wikipedia_sp500_snapshot_2026-05-20
CVX,Energy,wikipedia_sp500_snapshot_2026-05-20
CMG,Consumer Discretionary,wikipedia_sp500_snapshot_2026-05-20
CB,Financials,wikipedia_sp500_snapshot_2026-05-20
CHD,Consumer Staples,wikipedia_sp500_snapshot_2026-05-20
